Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,24,0.6,0.7,0.5587523492095924
100% Corpus,24,0.6,0.9,0.6186852280651227
100% Corpus,24,0.6,1.5,0.608345572558565
100% Corpus,24,0.6,auto,0.4508186438488367
100% Corpus,24,0.7,0.15,0.5001822776376483
100% Corpus,24,0.7,0.2,0.5063231324089839
100% Corpus,24,0.7,0.5,0.5050574959523753
100% Corpus,24,0.7,0.7,0.6455469758296376
100% Corpus,24,0.7,0.9,0.6370799554946508
100% Corpus,24,0.7,1.5,0.5583933153540327
100% Corpus,24,0.7,auto,0.47440037720926664
100% Corpus,24,0.9,0.15,0.4909647309592682
100% Corpus,24,0.9,0.2,0.4806459020623101
100% Corpus,24,0.9,0.5,0.6030572860952939
100% Corpus,24,0.9,0.7,0.6402852207149697
100% Corpus,24,0.9,0.9,0.6362483257942263
100% Corpus,24,0.9,1.5,0.580350494774856
100% Corpus,24,0.9,auto,0.44679860174747993
100% Corpus,24,1.5,0.15,0.4890136348244414
100% Corpus,24,1.5,0.2,0.4933485495117524
100% Corpus,24,1.5,0.5,0.4634976689321082
100% Corpus,24,1.5,0.7,0.4862697380266782
100% Corpus,24,1.5,0.9,0.4399272953849733
100% Corpus,24,1.5,1.5,0.43647639520602444
100% Corpus,24,1.5,auto,0.46098539711972625
100% Corpus,24,1.75,0.15,0.4752703224942192
100% Corpus,24,1.75,0.2,0.48460692715487036
100% Corpus,24,1.75,0.5,0.46134262983421936
100% Corpus,24,1.75,0.7,0.4423334733979844
100% Corpus,24,1.75,0.9,0.4418724051864313
100% Corpus,24,1.75,1.5,0.41195466568155964
100% Corpus,24,1.75,auto,0.45031225793250323
100% Corpus,24,auto,0.15,0.47394576200589406
100% Corpus,24,auto,0.2,0.47572833444694806
100% Corpus,24,auto,0.5,0.48595702217103914
100% Corpus,24,auto,0.7,0.48883664356994827
100% Corpus,24,auto,0.9,0.4900073971116638
100% Corpus,24,auto,1.5,0.5018864746452171
100% Corpus,24,auto,auto,0.41635462796355577
100% Corpus,26,0.15,0.15,0.4340750993204289
100% Corpus,26,0.15,0.2,0.4406404064344439
100% Corpus,26,0.15,0.5,0.4770226085137811
100% Corpus,26,0.15,0.7,0.5403865425628772
100% Corpus,26,0.15,0.9,0.5472969766821314
100% Corpus,26,0.15,1.5,0.555231873490859
100% Corpus,26,0.15,auto,0.4454284425368068
100% Corpus,26,0.2,0.15,0.43480242195633
100% Corpus,26,0.2,0.2,0.45262809401875786
100% Corpus,26,0.2,0.5,0.46048415903427264
100% Corpus,26,0.2,0.7,0.5573583511977991
100% Corpus,26,0.2,0.9,0.6023085630360687
100% Corpus,26,0.2,1.5,0.5647840624250728
100% Corpus,26,0.2,auto,0.42629697809411404
100% Corpus,26,0.5,0.15,0.487764281352039
100% Corpus,26,0.5,0.2,0.4811437008268534
100% Corpus,26,0.5,0.5,0.4816342991454129
100% Corpus,26,0.5,0.7,0.49745283091163167
100% Corpus,26,0.5,0.9,0.5833250953958387
100% Corpus,26,0.5,1.5,0.654015863165752
100% Corpus,26,0.5,auto,0.44438436979897467
100% Corpus,26,0.6,0.15,0.4911307911419391
100% Corpus,26,0.6,0.2,0.4892207437470462
100% Corpus,26,0.6,0.5,0.4664456930975142
100% Corpus,26,0.6,0.7,0.5628656877301625
100% Corpus,26,0.6,0.9,0.6345809136589795
100% Corpus,26,0.6,1.5,0.6019858279132211
100% Corpus,26,0.6,auto,0.44697083629194434
100% Corpus,26,0.7,0.15,0.5081211950195053
100% Corpus,26,0.7,0.2,0.5390365234234934
100% Corpus,26,0.7,0.5,0.5531880637042267
100% Corpus,26,0.7,0.7,0.6126384108348075
