Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,19,0.6,0.9,0.5270599415162308
100% Corpus,19,0.6,1.5,0.6282645768886889
100% Corpus,19,0.6,auto,0.4950027795448582
100% Corpus,19,0.7,0.15,0.52501807993294
100% Corpus,19,0.7,0.2,0.5055891749852625
100% Corpus,19,0.7,0.5,0.5337356183597948
100% Corpus,19,0.7,0.7,0.4888376347892846
100% Corpus,19,0.7,0.9,0.5943030875112439
100% Corpus,19,0.7,1.5,0.6073872754584749
100% Corpus,19,0.7,auto,0.5140830300256719
100% Corpus,19,0.9,0.15,0.5338133195144306
100% Corpus,19,0.9,0.2,0.5099449583656075
100% Corpus,19,0.9,0.5,0.5583696422177576
100% Corpus,19,0.9,0.7,0.5878882288495216
100% Corpus,19,0.9,0.9,0.6209303983178344
100% Corpus,19,0.9,1.5,0.504048824451696
100% Corpus,19,0.9,auto,0.5114273010133562
100% Corpus,19,1.5,0.15,0.5338174714180308
100% Corpus,19,1.5,0.2,0.5268068301053481
100% Corpus,19,1.5,0.5,0.4920234907213028
100% Corpus,19,1.5,0.7,0.5152981061464658
100% Corpus,19,1.5,0.9,0.49989039568435223
100% Corpus,19,1.5,1.5,0.3826309760510189
100% Corpus,19,1.5,auto,0.5307861425466203
100% Corpus,19,1.75,0.15,0.5319589197861924
100% Corpus,19,1.75,0.2,0.5222760947917994
100% Corpus,19,1.75,0.5,0.4777422342923497
100% Corpus,19,1.75,0.7,0.4632316411579092
100% Corpus,19,1.75,0.9,0.4896412698790598
100% Corpus,19,1.75,1.5,0.4415440743807081
100% Corpus,19,1.75,auto,0.5157016062832345
100% Corpus,19,auto,0.15,0.47021310553415263
100% Corpus,19,auto,0.2,0.47457220679603435
100% Corpus,19,auto,0.5,0.4847285715858812
100% Corpus,19,auto,0.7,0.5144154068491483
100% Corpus,19,auto,0.9,0.4961247851276318
100% Corpus,19,auto,1.5,0.4628188726263435
100% Corpus,19,auto,auto,0.42851100017810867
100% Corpus,21,0.15,0.15,0.4645517283363508
100% Corpus,21,0.15,0.2,0.46925428521331936
100% Corpus,21,0.15,0.5,0.4569632385639418
100% Corpus,21,0.15,0.7,0.5176798851503088
100% Corpus,21,0.15,0.9,0.5814563514749734
100% Corpus,21,0.15,1.5,
100% Corpus,21,0.15,auto,0.46501657624702863
100% Corpus,21,0.2,0.15,0.4731566369337
100% Corpus,21,0.2,0.2,0.4676787130771647
100% Corpus,21,0.2,0.5,0.4785362934565592
100% Corpus,21,0.2,0.7,0.5017873393089187
100% Corpus,21,0.2,0.9,0.5824676347684579
100% Corpus,21,0.2,1.5,0.571665902394094
100% Corpus,21,0.2,auto,0.4493370039343028
100% Corpus,21,0.5,0.15,0.4875881160559118
100% Corpus,21,0.5,0.2,0.48587216898346486
100% Corpus,21,0.5,0.5,0.506029342105388
100% Corpus,21,0.5,0.7,0.4825766004340405
100% Corpus,21,0.5,0.9,0.5716428840223178
100% Corpus,21,0.5,1.5,0.5302520222795039
100% Corpus,21,0.5,auto,0.4799473223137082
100% Corpus,21,0.6,0.15,0.515425347231159
100% Corpus,21,0.6,0.2,0.5008462194065867
100% Corpus,21,0.6,0.5,0.4759988720477126
100% Corpus,21,0.6,0.7,0.49825944208848894
100% Corpus,21,0.6,0.9,0.5589456537646238
100% Corpus,21,0.6,1.5,0.6592933190216688
100% Corpus,21,0.6,auto,0.4871944358121079
100% Corpus,21,0.7,0.15,0.5096918690907164
100% Corpus,21,0.7,0.2,0.5100012631230317
100% Corpus,21,0.7,0.5,0.5406882820728821
100% Corpus,21,0.7,0.7,0.5496300292201413
100% Corpus,21,0.7,0.9,0.6286944481751897
100% Corpus,21,0.7,1.5,0.5749463167728629
100% Corpus,21,0.7,auto,0.49562478610198146
100% Corpus,21,0.9,0.15,0.5043663706648862
